hop_category,timestamp,head_id,head_name,relation_id,relation_name,tail_id,true_entity_id,true_entity_name,predicted_entity_id,predicted_entity_name,rank,score,is_correct
1-hop,334,30,Malaysia,13,Express_intent_to_cooperate,18,18,Thailand,18,Thailand,1,-0.5844253301620483,True
1-hop,334,77,Haider_Al-Abadi,0,Make_statement,8,8,Iraq,8,Iraq,1,-1.0090826749801636,True
1-hop,334,44,Court_Judge_(India),2,Make_an_appeal_or_request,3,3,Citizen_(India),3,Citizen_(India),1,-0.18309499323368073,True
1-hop,334,271,Alexis_Tsipras,0,Make_statement,131,131,Evangelos_Venizelos,72,Antonis_Samaras,4,-1.000016689300537,False
1-hop,334,9,Government_(Nigeria),11,Use_conventional_military_force,28,28,Boko_Haram,2,Citizen_(Nigeria),2,-0.43930909037590027,False
1-hop,334,53,Hamas,8,Criticize_or_denounce,347,347,"Head_of_Government_(Palestinian_Territory,_Occupied)",287,"Government_(Palestinian_Territory,_Occupied)",19,-1.526024341583252,False
1-hop,334,32,Police_(Kenya),2,Make_an_appeal_or_request,16,16,Citizen_(Kenya),16,Citizen_(Kenya),1,-0.34571805596351624,True
1-hop,334,33,Ashraf_Ghani_Ahmadzai,1,Consult,258,258,Jens_Stoltenberg,40,Abdullah_Abdullah,4,-0.6837661862373352,False
1-hop,334,864,Refugee_(Afghanistan),4,Make_a_visit,1,1,Iran,1,Iran,1,-0.009390016086399555,True
1-hop,334,551,Grand_National_Party,3,Express_intent_to_meet_or_negotiate,60,60,Citizen_(South_Korea),0,China,4,-1.393262267112732,False
1-hop,334,145,Umar_al_Bashir,0,Make_statement,37,37,Sudan,145,Umar_al_Bashir,3,-2.4301631450653076,False
1-hop,334,127,Protester_(Egypt),31,"Protest_violently,_riot",64,64,Police_(Egypt),64,Police_(Egypt),1,-0.012348164804279804,True
1-hop,334,337,Student_(Hong_Kong),0,Make_statement,91,91,Protester_(Hong_Kong),91,Protester_(Hong_Kong),1,-0.9923337697982788,True
1-hop,334,18,Thailand,13,Express_intent_to_cooperate,30,30,Malaysia,30,Malaysia,1,-0.4906613826751709,True
1-hop,334,19,Police_(Australia),6,"Arrest,_detain,_or_charge_with_legal_action",17,17,Citizen_(Australia),17,Citizen_(Australia),1,-0.2539629638195038,True
1-hop,334,267,Terrorist_(Islamic_State_of_Iraq_and_the_Levant),23,Threaten,8,8,Iraq,8,Iraq,1,-0.4142370820045471,True
1-hop,334,91,Protester_(Hong_Kong),1,Consult,101,101,Police_(Hong_Kong),101,Police_(Hong_Kong),1,-0.11533716320991516,True
1-hop,334,2,Citizen_(Nigeria),2,Make_an_appeal_or_request,9,9,Government_(Nigeria),9,Government_(Nigeria),1,-2.0811917781829834,True
1-hop,334,40,Abdullah_Abdullah,27,Meet_at_a_'third'_location,33,33,Ashraf_Ghani_Ahmadzai,33,Ashraf_Ghani_Ahmadzai,1,-0.23768801987171173,True
1-hop,334,109,Head_of_Government_(China),3,Express_intent_to_meet_or_negotiate,0,0,China,0,China,1,-1.226635456085205,True
1-hop,334,54,Israeli_Defense_Forces,21,fight_with_small_arms_and_light_weapons,1760,1760,"Women_(Palestinian_Territory,_Occupied)",187,"Children_(Palestinian_Territory,_Occupied)",3,-0.39354991912841797,False
1-hop,334,41,Abdel_Fattah_Al-Sisi,15,Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support),37,37,Sudan,41,Abdel_Fattah_Al-Sisi,38,-1.2960089445114136,False
1-hop,334,886,Maithripala_Sirisena,0,Make_statement,201,201,Mahinda_Rajapaksa,0,China,3,-1.3086594343185425,False
1-hop,334,107,Citizen_(Sudan),36,Physically_assault,332,332,Police_(Sudan),332,Police_(Sudan),1,-1.9149482250213623,True
1-hop,334,964,Scholar_(Nigeria),0,Make_statement,297,297,Muslim_(Nigeria),9,Government_(Nigeria),22,-0.9746759533882141,False
1-hop,334,14,Mohammad_Javad_Zarif,0,Make_statement,1,1,Iran,1,Iran,1,-0.168277770280838,True
1-hop,334,299,Congress_(United_States),52,"Impose_embargo,_boycott,_or_sanctions",1,1,Iran,1,Iran,1,-0.6578496694564819,True
1-hop,334,3,Citizen_(India),21,fight_with_small_arms_and_light_weapons,225,225,Military_Personnel_-_Special_(India),154,Thief_(India),2,-1.064270257949829,False
1-hop,334,2643,Sri_Lanka_United_National_Party,7,Praise_or_endorse,886,886,Maithripala_Sirisena,1,Iran,55,-3.376783847808838,False
1-hop,334,1,Iran,16,Engage_in_diplomatic_cooperation,148,148,Oman,148,Oman,1,-1.3173770904541016,True
1-hop,334,47,Head_of_Government_(India),0,Make_statement,56,56,Employee_(India),47,Head_of_Government_(India),2,-2.175870895385742,False
1-hop,334,28,Boko_Haram,2,Make_an_appeal_or_request,9,9,Government_(Nigeria),2,Citizen_(Nigeria),2,-0.8553751111030579,False
1-hop,334,53,Hamas,0,Make_statement,287,287,"Government_(Palestinian_Territory,_Occupied)",22,Benjamin_Netanyahu,2,-1.2124311923980713,False
1-hop,334,374,Media_Personnel_(Australia),2,Make_an_appeal_or_request,17,17,Citizen_(Australia),17,Citizen_(Australia),1,-0.1883227378129959,True
1-hop,334,193,Lawyer/Attorney_(South_Korea),18,Investigate,60,60,Citizen_(South_Korea),60,Citizen_(South_Korea),1,-1.1803094148635864,True
1-hop,334,20,Philippines,6,"Arrest,_detain,_or_charge_with_legal_action",108,108,Criminal_(Philippines),108,Criminal_(Philippines),1,-0.7283869385719299,True
1-hop,334,16,Citizen_(Kenya),14,Demand,36,36,Government_(Kenya),36,Government_(Kenya),1,-0.9810413122177124,True
1-hop,334,42,Nuri_al-Maliki,0,Make_statement,8,8,Iraq,8,Iraq,1,-1.0846335887908936,True
1-hop,334,18,Thailand,15,Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support),30,30,Malaysia,80,Cambodia,2,-1.9229215383529663,False
